emp_title,emp_length,state,homeownership
global config engineer ,3.0,NJ,MORTGAGE
warehouse office clerk,10.0,HI,RENT
assembly,3.0,WI,RENT
customer service,1.0,PA,RENT
security supervisor ,10.0,CA,RENT
,,KY,OWN
hr ,10.0,MI,MORTGAGE
police,10.0,AZ,MORTGAGE
parts,10.0,NV,MORTGAGE
4th person,3.0,IL,RENT
supervisor,10.0,IL,MORTGAGE
register nurse,2.0,FL,MORTGAGE
respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE
senior inspector,10.0,CO,MORTGAGE
,,FL,MORTGAGE
dental hygienist,10.0,TN,MORTGAGE
,,NV,MORTGAGE
onsite medical ,3.0,NV,RENT
operational risk manager,10.0,IL,MORTGAGE
welder,1.0,CA,MORTGAGE
maintenance adm assistant,10.0,KY,MORTGAGE
warranty administrator,1.0,NV,MORTGAGE
underwriter,5.0,NJ,MORTGAGE
,,TX,MORTGAGE
program analyst ,10.0,VA,RENT
surveyor/cadd tech,7.0,PA,MORTGAGE
associated ,1.0,NY,RENT
inventory control specialist,5.0,IL,RENT
inventory control,3.0,GA,RENT
sr direct supoort professional,4.0,MO,MORTGAGE
director of operations,4.0,CA,MORTGAGE
hospitalist,3.0,TX,MORTGAGE
teacher,9.0,AR,MORTGAGE
controller,3.0,SC,MORTGAGE
deputy,10.0,CA,MORTGAGE
armed protection officer ,1.0,MD,OWN
driver,2.0,MD,RENT
supplies clerk,10.0,NJ,MORTGAGE
loan consultant ,2.0,PA,RENT
bank coordinator,2.0,CA,RENT
,,MI,MORTGAGE
senior recruiter,5.0,MD,RENT
reader advisor,10.0,VA,RENT
truck driver,2.0,TX,RENT
sales,4.0,TX,MORTGAGE
director of support services,10.0,NC,OWN
rn,2.0,FL,MORTGAGE
police recruit,0.0,TX,RENT
lead teller,2.0,NE,RENT
registered nurse,6.0,NC,MORTGAGE
hes advisor ,2.0,TX,MORTGAGE
sr admin assistant,10.0,TX,RENT
president,2.0,CA,RENT
hvac technician,10.0,GA,MORTGAGE
nurse assistant,5.0,NC,MORTGAGE
,,FL,OWN
driver,8.0,NJ,MORTGAGE
gourmet food server,10.0,NV,MORTGAGE
,,NV,MORTGAGE
program manager,10.0,CO,RENT
deputy assessor ,8.0,WV,MORTGAGE
service tech,10.0,MD,OWN
senior technically writer,1.0,VA,RENT
rn,10.0,VA,MORTGAGE
escrow manager,10.0,CA,MORTGAGE
quality control,0.0,PA,MORTGAGE
medical billing account rep,10.0,FL,MORTGAGE
truck driver,5.0,IL,MORTGAGE
general manager,5.0,NH,MORTGAGE
bartender,0.0,UT,RENT
,,DE,OWN
interpreter/translator/school enrolment ,0.0,MA,RENT
accounts receivable manager,3.0,NJ,RENT
asst to the director of theatre,3.0,KY,RENT
rn,2.0,NC,MORTGAGE
warehouse,10.0,FL,MORTGAGE
,,OR,RENT
