,rownames,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
3,4,customer service,1.0,PA,RENT,30000.0,Not Verified,10.16,,,,0,,2007,0,4,4,25400,4997,0,1,,0,0,1,1,15.0,4,0.0,0,2,19400,3,3,2,0,100.0,1,0,debt_consolidation,individual,21600,36,6.72,664.19,A,A3,Jan-2018,Current,whole,Cash,18853.26,3312.89,2746.74,566.15,0.0
9,10,4th person,3.0,IL,RENT,30000.0,Not Verified,18.91,,,,0,,2001,0,9,6,33114,17768,0,0,,0,0,1,5,17.0,6,0.0,0,3,14700,7,5,3,0,100.0,0,0,credit_card,individual,6400,36,6.71,196.77,A,A3,Mar-2018,Current,fractional,Cash,6077.13,391.15,322.87,68.28,0.0
11,12,register nurse,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,,,,0,,2000,4,26,10,450371,55939,0,0,,0,0,1,7,4.0,10,0.0,0,2,9000,15,8,3,3,92.0,0,0,other,individual,40000,60,9.92,848.31,B,B2,Mar-2018,Current,whole,Cash,38434.2,2500.84,1565.8,935.04,0.0
13,14,senior inspector,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,,,,0,44.0,1984,6,65,21,259915,14387,0,0,,0,0,0,7,0.0,21,0.0,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,9.43,356.46,B,B1,Feb-2018,Current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0.0
20,21,maintenance adm assistant,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,,,,0,,2003,0,13,9,70313,18128,0,0,,0,0,2,4,13.0,9,0.0,0,2,18800,7,6,4,1,100.0,0,0,credit_card,individual,7000,36,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,1063.69,897.77,165.92,0.0
23,24,,,TX,MORTGAGE,40280.0,Verified,7.27,,,,0,,1997,1,10,4,188450,6103,0,0,,0,0,1,0,9.0,4,0.0,0,1,7500,7,2,1,1,90.0,0,0,home_improvement,individual,3500,36,6.71,107.61,A,A3,Mar-2018,Current,whole,Cash,3323.42,223.71,176.58,47.13,0.0
24,25,program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,,,,0,67.0,1999,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0.0,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,fractional,Cash,7403.61,744.57,596.39,148.18,0.0
26,27,associated ,1.0,NY,RENT,55000.0,Source Verified,13.68,,,,0,44.0,2013,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0.0,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9432.28,750.79,567.72,183.07,0.0
27,28,inventory control specialist,5.0,IL,RENT,33000.0,Not Verified,19.38,,,,0,,2013,0,9,8,43876,22920,0,0,,0,0,5,2,19.0,8,0.0,0,3,17600,3,3,3,0,100.0,0,0,debt_consolidation,individual,3200,36,7.34,99.31,A,A4,Feb-2018,Current,whole,Cash,2557.44,696.63,642.56,54.07,0.0
28,29,inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,,,,0,70.0,1998,0,13,9,56000,14338,0,0,70.0,0,0,2,5,,9,0.0,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,1498.36,1295.52,202.84,0.0
29,30,sr direct supoort professional,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,,,,0,,2002,2,26,9,147217,2489,0,0,,0,0,2,3,0.0,9,0.0,0,1,25000,18,6,1,2,100.0,0,0,house,individual,6000,36,6.07,182.73,A,A2,Mar-2018,Current,whole,Cash,5540.54,544.14,459.46,84.68,0.0
34,35,deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,,,,0,,1993,2,21,12,631258,69647,0,0,,0,0,2,5,0.0,12,0.0,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0.0,15005.166875,15000.0,5.17,0.0
35,36,armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,,,,0,31.0,2004,0,13,3,30400,92,0,0,,0,0,0,0,,3,0.0,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0.0,2409.0499926707,2400.0,9.05,0.0
38,39,loan consultant ,2.0,PA,RENT,75000.0,Not Verified,18.53,,,,0,,2006,2,12,6,55075,34186,0,0,,0,0,2,3,2.0,6,0.0,0,1,19600,9,4,2,0,100.0,0,0,other,individual,9500,36,10.42,308.42,B,B3,Jan-2018,Current,whole,Cash,8350.57,1531.1,1149.43,381.67,0.0
41,42,senior recruiter,5.0,MD,RENT,90000.0,Source Verified,15.72,,,,0,,2005,8,24,10,77285,51012,0,0,,0,0,2,4,3.0,10,0.0,0,2,23900,11,8,3,3,100.0,0,0,moving,individual,15000,60,11.99,333.6,B,B5,Feb-2018,Current,whole,Cash,14254.01,1314.42,745.99,568.43,0.0
45,46,director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,,,,0,68.0,1980,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0.0,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13092.56,2295.0,1907.44,387.56,0.0
46,47,rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,,,,0,,2004,0,17,9,175300,18870,0,0,,0,0,0,4,16.0,9,0.0,0,4,78300,10,8,5,1,100.0,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18991.05,1214.89,1008.95,205.94,0.0
48,49,lead teller,2.0,NE,RENT,30000.0,Not Verified,3.64,,,,0,,2012,0,9,7,18000,5542,0,0,,0,0,0,1,,7,0.0,0,2,17000,8,7,3,0,100.0,0,0,car,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,1688.22,1052.32,635.9,0.0
49,50,registered nurse,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,,,,0,61.0,2004,2,39,25,404236,199983,0,0,,0,0,18,5,3.0,25,0.0,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,10.42,324.65,B,B3,Jan-2018,Current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0
58,59,,,NV,MORTGAGE,76000.0,Not Verified,14.62,,,,0,,2009,2,15,14,368543,24135,0,0,,0,0,2,9,12.0,14,0.0,0,5,56300,11,11,5,2,100.0,0,0,debt_consolidation,individual,6000,36,6.72,184.5,A,A3,Jan-2018,Current,whole,Cash,5391.31,736.88,608.69,128.19,0.0
